Questionnaire Number,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1,2,1,1,1,3,4,3,4,2,4,1,1,1
2,2,1,1,2,3,4,3,4,3,4,1,1,1
3,3,1,1,2,3,4,4,4,3,4,2,2,1
4,3,1,2,2,3,4,4,4,3,4,2,2,1
5,2,4,4,4,5,4,4,5,3,4,3,2,4
6,4,3,4,4,5,5,4,4,4,5,4,4,4
7,4,3,2,2,1,5,4,5,5,4,3,4,4
8,3,2,2,3,3,5,3,4,3,4,2,3,2
9,4,2,2,3,4,5,3,5,4,4,2,3,2
10,4,2,2,3,4,5,4,5,4,4,2,3,2
11,4,2,2,3,4,,4,4,3,4,3,3,2
12,4,2,2,3,4,5,4,3,4,4,3,3,3
13,4,3,2,3,4,5,4,4,4,4,3,3,3
14,4,3,3,5,4,5,5,3,4,4,3,3,3
15,2,4,4,5,5,4,4,4,3,4,3,2,4
16,4,3,4,4,5,5,5,4,4,5,4,4,4
17,4,3,2,3,1,5,4,4,5,4,3,4,4
18,4,3,3,4,4,5,4,4,4,4,3,3,3
19,4,5,3,3,4,5,4,3,4,4,3,3,4
20,4,3,3,4,4,5,4,2,4,4,3,3,4
21,4,5,3,4,4,5,4,3,4,4,3,3,4
22,4,5,3,4,4,5,4,1,4,4,3,3,4
23,5,5,3,4,4,5,4,5,4,4,3,4,4
24,5,3,3,3,4,5,5,5,4,4,3,4,4
25,5,3,3,2,4,5,5,5,5,4,3,4,4
26,5,3,3,3,4,5,5,4,5,4,3,4,4
27,5,4,3,1,4,5,5,3,5,4,3,4,4
28,5,4,3,5,4,5,5,4,5,4,3,4,5
29,5,4,3,5,4,5,5,3,5,5,3,4,5
30,5,5,4,5,4,5,5,4,5,5,4,5,5
31,2,4,4,4,5,4,4,4,3,4,3,2,4
32,4,3,4,3,5,5,4,4,4,5,4,4,4
33,4,3,2,4,1,5,4,5,5,4,3,4,4
34,2,1,1,3,3,4,3,4,2,3,1,1,1
35,2,3,1,4,3,4,3,4,2,3,1,1,1
36,2,5,1,4,3,4,3,4,2,4,1,1,1
37,2,3,1,2,3,4,3,4,2,4,1,1,1
38,2,5,4,4,5,4,4,5,3,4,3,2,4
39,4,3,4,4,5,5,4,4,4,5,4,4,4
40,4,2,2,2,1,5,4,5,5,5,3,4,4
41,2,4,1,2,3,4,3,4,3,5,2,2,1
42,5,4,1,3,3,4,3,4,3,4,3,3,1
43,5,4,3,3,3,5,3,4,3,3,1,2,1
44,3,4,2,5,5,5,4,4,3,4,5,3,1
45,4,3,3,3,5,4,4,4,3,3,5,1,1
46,4,3,1,5,4,3,3,4,2,4,5,5,1
47,3,3,5,3,3,4,2,4,3,4,4,5,1
48,2,3,5,2,4,3,3,5,1,4,3,5,1
49,3,4,5,4,3,4,1,5,5,4,4,4,1
50,1,5,4,4,4,4,5,5,5,3,3,3,2
51,5,5,3,4,4,4,5,5,5,2,4,4,2
52,5,2,4,4,4,4,5,3,4,3,2,3,2
53,5,3,3,3,4,3,4,5,3,1,2,4,2
