Questionnaire Number,Q76,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90
1,1,2,3,4,3,3,4,5,5,5,3,5,5,5,5
2,5,2,3,4,3,4,4,1,4,4,4,4,3,3,4
3,1,3,3,4,3,4,4,5,4,4,3,5,3,4,4
4,1,3,4,4,3,4,3,1,3,3,4,5,3,4,4
5,1,3,4,4,4,4,4,1,3,4,4,1,3,4,3
6,2,3,4,3,4,4,3,1,3,4,4,1,4,4,4
7,2,4,4,4,4,4,4,2,3,4,3,1,4,4,3
8,2,4,4,3,4,4,3,2,4,4,4,1,4,4,4
9,2,4,4,4,4,4,4,2,4,4,3,1,4,4,3
10,2,4,4,3,4,4,4,2,4,4,4,2,4,4,4
11,2,4,4,4,4,4,4,2,4,4,3,2,4,4,4
12,2,4,4,4,4,4,5,2,4,4,4,2,4,4,4
13,2,4,4,4,4,4,4,2,4,4,4,2,4,4,5
14,2,4,4,5,5,4,5,2,4,4,4,5,4,4,4
15,2,4,4,4,3,4,4,2,4,4,5,1,5,4,5
16,2,5,4,5,3,4,5,2,4,4,4,5,3,4,4
17,2,3,4,4,4,4,4,2,5,4,5,1,3,4,5
18,2,3,4,5,4,4,4,2,3,4,4,1,4,4,4
19,2,4,4,4,4,4,4,2,3,4,5,1,4,4,4
20,2,4,4,4,4,4,5,2,4,4,4,2,4,4,4
21,3,4,4,4,4,4,2,2,4,4,4,2,4,4,5
22,3,4,4,5,4,4,4,3,4,4,4,2,4,4,2
23,4,4,4,2,4,4,2,3,4,4,5,2,4,4,4
24,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2
25,4,4,4,2,5,5,4,4,4,4,4,2,4,1,4
26,4,4,5,4,5,4,4,3,4,4,2,2,5,2,4
27,4,4,5,2,1,4,4,5,5,4,1,2,4,4,4
28,4,4,5,4,1,4,4,5,5,4,4,2,4,5,4
29,4,5,5,5,1,5,4,4,5,3,5,2,4,5,4
30,4,5,5,1,1,2,4,4,5,5,5,2,5,1,4
31,1,1,2,2,1,4,4,4,3,5,1,2,2,1,4
32,5,1,2,1,2,2,4,2,3,4,1,2,4,1,4
33,1,1,2,3,2,4,4,4,4,4,1,2,2,1,4
34,1,1,2,4,2,2,2,4,5,4,1,2,4,1,4
35,1,1,2,4,2,4,5,1,4,2,1,3,2,2,4
36,1,2,3,4,5,5,4,2,4,4,2,3,4,2,4
37,1,2,3,4,3,1,3,2,4,4,2,3,5,2,4
38,1,2,3,4,3,2,3,2,5,1,2,3,1,2,4
39,1,2,3,4,3,1,4,5,2,2,2,3,2,5,5
40,1,5,3,4,4,3,4,5,4,2,5,4,1,2,4
41,1,2,3,4,4,4,5,5,2,2,3,4,3,5,4
42,5,5,3,4,4,4,5,5,4,5,3,4,4,4,4
43,5,5,3,4,4,4,2,4,2,5,3,4,4,3,5
